Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,Linha,Delay,Log,motion_prefix,report_type
2025-06-11 17:12:53,2025-06-11 17:12:52,2025-06-11 17:10:25,867488061407846,34488.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12676.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,255.0,765.0,-12.085004,-45.710826,724.0,2.0,937b,077fff02,9.8,1393.2,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,10.0,,26,1.0,Não,1,10
2025-06-11 18:12:53,2025-06-11 18:12:52,2025-06-11 18:10:26,867488061407846,34549.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12693.0,0.0,-,0.0,0.0,11,12.0,-,1.0,0.0,255.0,765.0,-12.085004,-45.710826,724.0,2.0,937b,077fff02,9.8,1393.2,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,10.0,,57,1.0,Não,1,10
2025-06-11 18:59:41,2025-06-11 18:59:39,2025-06-11 18:10:26,867488061407846,34597.0,GTIGN,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12502.0,0.0,0000,1.0,0.0,21,12.0,38803,0.0,0.0,255.0,765.0,-12.085004,-45.710826,724.0,2.0,937b,077fff7a,0.0,1393.2,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,82,2.0,Não,2,
2025-06-11 18:59:41,2025-06-11 18:59:39,2025-06-11 18:10:26,867488061407846,34598.0,GTSTT,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12502.0,0.0,0000,1.0,0.0,21,12.0,-,0.0,0.0,255.0,765.0,-12.085004,-45.710826,724.0,2.0,937b,077fff7a,0.0,1393.2,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,83,2.0,Não,2,
2025-06-11 18:59:42,2025-06-11 18:59:39,2025-06-11 18:10:26,867488061407846,34600.0,GTSTT,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12502.0,0.0,0000,1.0,0.0,22,12.0,-,0.0,0.0,255.0,765.0,-12.085004,-45.710826,724.0,2.0,937b,077fff7a,0.0,1393.2,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,84,3.0,Não,2,
2025-06-11 18:59:47,2025-06-11 18:59:46,2025-06-11 18:59:47,867488061407846,34601.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,11886.0,0.0,-,1.0,0.0,22,12.0,-,1.0,0.0,255.0,733.0,-12.085137,-45.712421,724.0,2.0,937b,077fff7a,0.0,1393.2,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,10.0,,85,1.0,Não,2,10
2025-06-11 18:59:47,2025-06-11 18:59:46,2025-06-11 18:59:47,867488061407846,34602.0,GTIGL,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,11886.0,0.0,0000,1.0,0.0,22,12.0,-,1.0,0.0,255.0,733.0,-12.085137,-45.712421,724.0,2.0,937b,077fff7a,0.0,1393.2,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,0.0,,86,1.0,Não,2,0
2025-06-11 19:00:13,2025-06-11 19:00:12,2025-06-11 19:00:13,867488061407846,34603.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12817.0,0.0,-,1.0,0.0,22,12.0,-,1.0,6.1,133.0,774.0,-12.084855,-45.711383,724.0,2.0,937b,077fff7a,0.1,1393.3,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,11.0,,87,1.0,Não,2,11
2025-06-11 19:00:15,2025-06-11 19:00:14,2025-06-11 19:00:15,867488061407846,34604.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12932.0,0.0,-,1.0,0.0,22,12.0,-,1.0,7.7,164.0,776.0,-12.084862,-45.711283,724.0,2.0,937b,077fff7a,0.1,1393.3,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,11.0,,88,1.0,Não,2,11
2025-06-11 19:00:45,2025-06-11 19:00:44,2025-06-11 19:00:45,867488061407846,34605.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13968.0,0.0,-,1.0,0.0,22,12.0,-,1.0,5.7,197.0,759.0,-12.085899,-45.710819,724.0,2.0,937b,077fff7a,0.3,1393.4,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,11.0,,89,1.0,Não,2,11
2025-06-11 19:00:50,2025-06-11 19:00:49,2025-06-11 19:00:50,867488061407846,34606.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13966.0,0.0,-,1.0,0.0,22,12.0,-,1.0,4.9,229.0,758.0,-12.085953,-45.710839,724.0,2.0,937b,077fff7a,0.3,1393.4,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,11.0,,90,1.0,Não,2,11
2025-06-11 19:00:56,2025-06-11 19:00:55,2025-06-11 19:00:56,867488061407846,34607.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13966.0,0.0,-,1.0,0.0,22,12.0,-,1.0,6.8,259.0,758.0,-12.085973,-45.710882,724.0,2.0,937b,077fff7a,0.3,1393.4,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,7.0,0.0,0.0,11.0,,91,1.0,Não,2,11
2025-06-11 19:02:49,2025-06-11 19:02:48,2025-06-11 19:02:47,867488061407846,34610.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14049.0,0.0,-,1.0,0.0,22,12.0,-,1.0,47.3,262.0,751.0,-12.086794,-45.717145,724.0,2.0,937b,077fff17,0.9,1394.1,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,10.0,,93,1.0,Não,2,10
2025-06-11 19:05:49,2025-06-11 19:05:48,2025-06-11 19:05:48,867488061407846,34615.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13004.0,0.0,-,1.0,0.0,22,12.0,-,1.0,45.9,262.0,759.0,-12.089445,-45.73699,724.0,2.0,937b,077fff17,3.1,1396.3,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,10.0,,96,1.0,Não,2,10
